acc_id,tipo_veh,color_veh
2013|179,Pick up,Blanco
2013|180,Pick up,Blanco
2013|181,Camión,Blanco
2013|182,Automovil,Blanco
2013|183,Automovil,Azul
2013|184,Camión,Blanco
2013|185,Microbus,Negro
2013|186,Automovil,Ignorado
2013|187,Automovil,Celeste
2013|188,Motocicleta,Rojo
2013|189,Motocicleta,Rojo
2013|190,Automovil,Rojo
2013|191,Microbus,Azul
2013|192,Motocicleta,Ignorado
2013|193,Pick up,Gris
2013|194,Automovil,Café
2013|195,Automovil,Azul
2013|196,Motocicleta,Azul
2013|197,Camioneta,Azul
2013|198,Motocicleta,Negro
2013|199,Ignorado,Ignorado
2013|200,Automovil,Gris
2013|201,Automovil,Beige
2013|202,Bus urbano,Ignorado
2013|203,Motocicleta,Ignorado
2013|204,Automovil,Azul
2013|205,Motocicleta,Rojo
2013|206,Pick up,Rojo
2013|207,Motocicleta,Azul
2013|208,Automovil,Gris
2013|209,Automovil,Blanco
2013|210,Pick up,Negro
2013|211,Cabezal,Blanco
2013|212,Microbus,Rojo
2013|213,Motocicleta,Rojo
2013|214,Pick up,Rojo
2013|215,Motocicleta,Rojo
2013|216,Automovil,Rojo
2013|217,Motocicleta,Rojo
2013|218,Motocicleta,Rojo
2013|219,Automovil,Verde
2013|220,Cabezal,Ignorado
2013|221,Motocicleta,Negro
2013|222,Automovil,Negro
2013|223,Motocicleta,Negro
2013|224,Bus extraurbano,Amarillo
2013|225,Automovil,Azul
2013|226,Pick up,Beige
2013|227,Camioneta,Verde
2013|228,Pick up,Gris
2013|229,Camión,Rojo
2013|230,Cabezal,Blanco
2013|231,Automovil,Café
2013|232,Motocicleta,Ignorado
2013|233,Pick up,Beige
2013|234,Motocicleta,Ignorado
2013|235,Ignorado,Ignorado
2013|236,Mototaxi,Ignorado
2013|237,Automovil,Blanco
2013|238,Automovil,Blanco
2013|239,Automovil,Gris
2013|240,Microbus,Blanco
2013|241,Motocicleta,Azul
2013|242,Automovil,Rojo
2013|243,Camión,Blanco
2013|244,Pick up,Rojo
2013|245,Mototaxi,Rojo
2013|246,Bus urbano,Ignorado
2013|247,Motocicleta,Ignorado
2013|248,Pick up,Blanco
2013|249,Automovil,Negro
2013|250,Motocicleta,Rojo
2013|251,Automovil,Gris
2013|252,Motocicleta,Rojo
2013|253,Camión,Blanco
2013|254,Automovil,Corinto
2013|255,Pick up,Ignorado
2013|256,Motocicleta,Ignorado
2013|257,Pick up,Negro
2013|258,Automovil,Rojo
2013|259,Pick up,Gris
2013|260,Motocicleta,Rojo
2013|261,Motocicleta,Ignorado
2013|262,Automovil,Rojo
2013|263,Automovil,Ignorado
2013|264,Automovil,Ignorado
2013|265,Camioneta,Ignorado
2013|266,Automovil,Corinto
2013|267,Automovil,Blanco
2013|268,Automovil,Corinto
2013|269,Mototaxi,Rojo
2013|270,Pick up,Negro
2013|271,Automovil,Gris
2013|272,Automovil,Rojo
2013|273,Automovil,Celeste
2013|274,Automovil,Beige
2013|275,Motocicleta,Ignorado
2013|276,Pick up,Rojo
2013|277,Pick up,Ignorado
2013|278,Pick up,Gris
2013|279,Motocicleta,Amarillo
2013|280,Automovil,Rojo
2013|281,Motocicleta,Negro
2013|282,Pick up,Negro
2013|283,Automovil,Blanco
2013|284,Pick up,Azul
2013|285,Cabezal,Blanco
2013|286,Pick up,Corinto
2013|287,Pick up,Negro
2013|288,Automovil,Negro
2013|289,Motocicleta,Rojo
2013|290,Camión,Rojo
2013|291,Pick up,Blanco
2013|292,Pick up,Rojo
2013|293,Camión,Blanco
2013|294,Camioneta,Blanco
2013|295,Ignorado,Blanco
2013|296,Camión,Blanco
2013|297,Motocicleta,Rojo
