acc_id,fallecidos_lesionados,fall_les,g_edad,sexo_vic
2013|156,Lesionado,,15-19,
2013|157,Lesionado,,Menor de 15,
2013|158,Lesionado,,20-24,
2013|159,Lesionado,,55 y más,
2013|160,Lesionado,,40-44,
2013|161,Lesionado,,15-19,
2013|162,Fallecido,,25-29,
2013|163,Fallecido,,55 y más,
2013|164,Fallecido,,Menor de 15,
2013|165,Lesionado,,15-19,
2013|166,Lesionado,,30-34,
2013|167,Lesionado,,55 y más,
2013|168,Lesionado,,50-54,
2013|169,Lesionado,,15-19,
2013|170,Lesionado,,15-19,
2013|171,Lesionado,,50-54,
2013|172,Lesionado,,35-39,
2013|173,Lesionado,,35-39,
2013|174,Lesionado,,20-24,
2013|175,Lesionado,,30-34,
2013|176,Lesionado,,50-54,
2013|177,Fallecido,,25-29,
2013|178,Lesionado,,15-19,
2013|179,Lesionado,,20-24,
2013|180,Fallecido,,55 y más,
2013|181,Lesionado,,20-24,
2013|182,Lesionado,,15-19,
2013|183,Lesionado,,25-29,
2013|184,Lesionado,,15-19,
2013|185,Lesionado,,20-24,
2013|186,Lesionado,,30-34,
2013|187,Lesionado,,25-29,
2013|188,Lesionado,,Menor de 15,
2013|189,Lesionado,,40-44,
2013|190,Lesionado,,Menor de 15,
2013|191,Lesionado,,20-24,
2013|192,Lesionado,,20-24,
2013|193,Lesionado,,Menor de 15,
2013|194,Lesionado,,20-24,
2013|195,Lesionado,,25-29,
2013|196,Fallecido,,Menor de 15,
2013|197,Lesionado,,25-29,
2013|198,Fallecido,,Menor de 15,
2013|199,Lesionado,,20-24,
2013|200,Lesionado,,50-54,
2013|201,Lesionado,,30-34,
2013|202,Lesionado,,35-39,
2013|203,Lesionado,,Menor de 15,
2013|204,Fallecido,,20-24,
2013|205,Lesionado,,40-44,
2013|206,Lesionado,,40-44,
2013|207,Fallecido,,15-19,
2013|208,Lesionado,,25-29,
2013|209,Lesionado,,20-24,
2013|210,Fallecido,,55 y más,
2013|211,Lesionado,,30-34,
2013|212,Lesionado,,20-24,
2013|213,Lesionado,,20-24,
2013|214,Lesionado,,25-29,
2013|215,Lesionado,,40-44,
2013|216,Lesionado,,Menor de 15,
2013|217,Lesionado,,15-19,
2013|218,Lesionado,,30-34,
2013|219,Fallecido,,55 y más,
2013|220,Fallecido,,30-34,
2013|221,Lesionado,,45-49,
2013|222,Lesionado,,55 y más,
2013|223,Lesionado,,40-44,
2013|224,Lesionado,,30-34,
2013|225,Lesionado,,55 y más,
2013|226,Lesionado,,30-34,
2013|227,Lesionado,,30-34,
2013|228,Lesionado,,55 y más,
2013|229,Lesionado,,Menor de 15,
2013|230,Lesionado,,Menor de 15,
2013|231,Lesionado,,50-54,
2013|232,Lesionado,,45-49,
2013|233,Lesionado,,Menor de 15,
2013|234,Lesionado,,25-29,
2013|235,Lesionado,,30-34,
2013|236,Lesionado,,55 y más,
2013|237,Lesionado,,15-19,
2013|238,Lesionado,,55 y más,
2013|239,Lesionado,,55 y más,
2013|240,Lesionado,,Menor de 15,
2013|241,Lesionado,,30-34,
2013|242,Lesionado,,55 y más,
2013|243,Lesionado,,50-54,
2013|244,Lesionado,,25-29,
2013|245,Lesionado,,50-54,
2013|246,Lesionado,,30-34,
2013|247,Fallecido,,20-24,
2013|248,Lesionado,,Ignorado,
2013|249,Lesionado,,Ignorado,
2013|250,Lesionado,,Ignorado,
2013|251,Lesionado,,30-34,
2013|252,Lesionado,,55 y más,
2013|253,Lesionado,,35-39,
2013|254,Lesionado,,30-34,
2013|255,Lesionado,,55 y más,
2013|256,Lesionado,,55 y más,
2013|257,Lesionado,,30-34,
2013|258,Lesionado,,Menor de 15,
2013|259,Lesionado,,20-24,
2013|260,Lesionado,,35-39,
2013|261,Lesionado,,Menor de 15,
2013|262,Lesionado,,30-34,
2013|263,Lesionado,,Menor de 15,
2013|264,Lesionado,,Menor de 15,
2013|265,Lesionado,,30-34,
2013|266,Lesionado,,45-49,
2013|267,Lesionado,,40-44,
2013|268,Lesionado,,35-39,
2013|269,Lesionado,,45-49,
2013|270,Lesionado,,Menor de 15,
2013|271,Lesionado,,Ignorado,
2013|272,Lesionado,,Menor de 15,
2013|273,Lesionado,,Menor de 15,
2013|274,Lesionado,,25-29,
2013|275,Lesionado,,30-34,
2013|276,Lesionado,,30-34,
2013|277,Lesionado,,30-34,
2013|278,Lesionado,,Menor de 15,
2013|279,Lesionado,,30-34,
2013|280,Lesionado,,Menor de 15,
2013|281,Lesionado,,Menor de 15,
2013|282,Lesionado,,15-19,
2013|283,Lesionado,,50-54,
2013|284,Lesionado,,25-29,
2013|285,Lesionado,,40-44,
2013|286,Lesionado,,30-34,
2013|287,Lesionado,,30-34,
2013|288,Lesionado,,20-24,
2013|289,Lesionado,,55 y más,
2013|290,Lesionado,,15-19,
2013|291,Lesionado,,20-24,
2013|292,Lesionado,,Menor de 15,
2013|293,Lesionado,,40-44,
2013|294,Lesionado,,25-29,
2013|295,Lesionado,,Ignorado,
